Sub-County,Total*,per cent,Male,per cent,Female,per cent
MAARA,"24,682",22.7,"12,842",23.6,"11,840",21.9
MERU SOUTH,"23,125",27.1,"12,006",28.6,"11,118",25.7
THARAKA NORTH,"5,073",9.3,"3,013",11.5,"2,060",7.3
THARAKA SOUTH,"10,053",14.4,"5,610",16.8,"4,442",12.2
MT. KENYA FOREST,109,68.1,43,58.1,66,76.7
EMBU,"125,572",22.1,"66,829",23.6,"58,737",20.6
EMBU EAST,"25,056",20.5,"13,406",22.0,"11,650",19.0
EMBU NORTH,"16,268",21.6,"8,939",23.9,"7,329",19.4
EMBU WEST,"40,813",34.9,"20,467",35.7,"20,340",34.2
MBEERE SOUTH,"27,340",17.9,"15,139",19.5,"12,201",16.3
MBEERE NORTH,"16,080",15.9,"8,865",17.8,"7,215",14.0
MT. KENYA FOREST,15,71.4,13,72.2,2,66.7
KITUI,"143,340",13.6,"76,701",15.1,"66,636",12.1
IKUTHA,"7,569",9.8,"4,211",11.3,"3,358",8.3
KATULANI,"6,951",15.7,"3,691",17.0,"3,260",14.5
KISASI,"5,124",11.9,"2,767",13.1,"2,357",10.7
KITUI CENTRAL,"24,129",24.8,"12,224",25.8,"11,905",23.8
KITUI WEST,"11,587",17.5,"6,010",19.0,"5,577",16.1
KYUSO,"6,949",9.8,"3,894",11.5,"3,055",8.2
LOWER YATTA,"8,568",14.5,"4,804",16.3,"3,764",12.7
MATINYANI,"7,011",15.7,"3,807",17.4,"3,204",14.0
MIGWANI,"11,547",15.6,"6,105",17.5,"5,441",14.0
MUMONI,"3,126",11.4,"1,711",13.4,"1,415",9.7
MUTITU,"4,526",8.8,"2,476",10.1,"2,050",7.6
MUTITU NORTH,"2,171",11.0,"1,152",12.0,"1,019",10.0
MUTOMO,"10,975",10.4,"5,925",11.7,"5,049",9.2
MWINGI CENTRAL,"15,197",15.1,"7,951",16.5,"7,246",13.8
MWINGI EAST,"7,304",9.2,"4,005",10.7,"3,298",7.9
NZAMBANI,"6,313",14.5,"3,419",16.0,"2,894",13.0
THAGICU,"1,127",8.0,683,10.4,444,6.0
TSEIKURU,"3,166",8.3,"1,866",10.3,"1,300",6.6
MACHAKOS,"342,005",25.8,"181,709",27.4,"160,291",24.1
ATHI RIVER,"142,746",48.3,"75,434",50.1,"67,312",46.3
KALAMA,"8,266",16.0,"4,512",17.9,"3,754",14.3
KANGUNDO,"15,904",17.2,"8,680",18.9,"7,224",15.5
KATHIANI,"15,883",15.0,"8,847",17.1,"7,035",13.1
MACHAKOS,"49,485",31.3,"25,554",32.4,"23,930",30.2
MASINGA,"20,200",14.5,"10,905",15.9,"9,294",13.2
MATUNGULU,"32,446",21.4,"17,059",22.4,"15,386",20.4
MWALA,"29,042",16.9,"15,561",18.2,"13,481",15.6
YATTA,"28,033",17.4,"15,157",19.0,"12,875",15.8
MAKUENI,"148,699",16.1,"81,851",18.0,"66,845",14.3
KATHONZWENI,"10,686",14.3,"5,965",16.2,"4,721",12.4
KIBWEZI,"26,340",14.4,"14,721",16.3,"11,617",12.6
KILUNGU,"8,301",14.5,"4,589",16.8,"3,712",12.3
MAKINDU,"12,925",16.5,"6,926",18.0,"5,999",15.0
MAKUENI,"27,646",22.8,"14,765",24.4,"12,881",21.2
MBOONI EAST,"13,449",14.6,"7,367",16.3,"6,082",13.0
MBOONI WEST,"12,795",13.3,"7,152",15.4,"5,642",11.3
MUKAA,"17,156",17.1,"9,624",19.0,"7,532",15.2
NZAUI,"19,401",16.5,"10,742",18.5,"8,659",14.6
NYANDARUA,"122,388",20.6,"69,255",23.6,"53,132",17.6
KINANGOP,"21,049",20.3,"11,840",23.3,"9,209",17.4
NYANDARUA SOUTH,"18,840",21.6,"10,564",24.7,"8,275",18.6
MIRANGINE,"10,329",16.5,"6,070",19.4,"4,259",13.5
KIPIPIRI,"13,873",15.8,"8,260",19.1,"5,613",12.6
NYANDARUA CENTRAL,"16,715",24.0,"9,345",27.1,"7,370",21.0
NYANDARUA WEST,"22,172",24.3,"12,419",27.5,"9,753",21.2
NYANDARUA NORTH,"19,397",21.0,"10,748",23.8,"8,649",18.4
ABERDARE NATIONAL PAR,13,92.9,9,90.0,4,100.0
NYERI,"211,807",29.9,"112,479",32.3,"99,319",27.5
TETU,"19,846",26.1,"10,663",28.8,"9,182",23.6
KIENI EAST,"30,633",29.8,"16,703",32.5,"13,928",27.1
KIENI WEST,"18,395",22.2,"10,330",25.2,"8,062",19.3
MATHIRA EAST,"30,255",32.5,"15,678",34.8,"14,576",30.3
MATHIRA WEST,"13,896",24.5,"7,333",26.3,"6,562",22.8
NYERI SOUTH,"22,260",25.9,"11,843",28.6,"10,417",23.5
MUKURWE-INI,"19,055",22.7,"10,313",24.9,"8,742",20.5
NYERI CENTRAL,"57,316",44.8,"29,512",47.0,"27,803",42.6
MT. KENYA FOREST,73,41.0,50,42.4,23,38.3
ABERDARE FOREST,78,78.8,54,77.1,24,82.8
KIRINYAGA,"137,563",24.1,"73,577",26.1,"63,977",22.1
KIRINYAGA CENTRAL,"32,210",28.1,"16,912",30.2,"15,297",26.0
KIRINYAGA EAST,"28,245",22.1,"15,600",24.7,"12,642",19.5
KIRINYAGA WEST,"26,981",25.0,"14,332",27.2,"12,649",22.9
MWEA EAST,"30,098",24.6,"15,721",25.9,"14,374",23.3
MWEA WEST,"20,009",20.3,"10,996",22.5,"9,011",18.2
MT. KENYA FOREST,20,58.8,16,66.7,4,40.0
MURANG'A,"204,760",20.7,"111,466",22.8,"93,286",18.7
MURANG'A EAST,"27,922",27.5,"14,072",28.2,"13,850",26.7
KANGEMA,"15,764",20.8,"8,583",23.1,"7,180",18.6
MATHIOYA,"15,896",18.2,"8,626",20.2,"7,270",16.3
KAHURO,"15,911",19.1,"8,631",21.1,"7,275",17.1
MURANG'A SOUTH,"36,809",21.4,"20,103",23.6,"16,706",19.2
GATANGA,"37,930",21.6,"21,157",24.0,"16,772",19.1
KIGUMO,"23,144",18.0,"13,054",20.5,"10,089",15.6
KANDARA,"31,359",19.1,"17,219",21.3,"14,140",17.1
ABERDARE FOREST,25,59.5,21,70.0,4,33.3
KIAMBU,"952,268",42.7,"486,137",44.5,"466,080",40.9
GATUNDU NORTH,"22,795",22.1,"12,306",24.3,"10,488",20.1
GATUNDU SOUTH,"26,346",23.0,"14,104",24.9,"12,242",21.1
GITHUNGURI,"42,369",27.3,"22,149",28.8,"20,218",25.9
JUJA,"133,777",48.3,"68,981",50.5,"64,788",46.1
KABETE,"87,230",47.2,"44,176",49.0,"43,047",45.6
KIAMBAA,"101,132",46.4,"50,970",47.8,"50,160",45.0
KIAMBU,"67,815",50.6,"32,488",51.2,"35,319",50.1
KIKUYU,"83,951",48.6,"41,613",49.8,"42,336",47.4
LARI,"29,719",23.6,"16,394",26.3,"13,325",21.0
LIMURU,"49,957",34.0,"26,789",36.5,"23,168",31.5
RUIRU,"181,536",53.3,"92,193",55.8,"89,333",50.9
THIKA EAST,"10,688",29.7,"5,780",31.7,"4,905",27.6
THIKA WEST,"114,953",51.6,"58,194",53.6,"56,751",49.7
TURKANA,"58,533",6.9,"36,920",8.4,"21,613",5.2
KIBISH,890,2.6,591,3.5,299,1.8
LOIMA,"2,901",3.0,"1,821",3.7,"1,080",2.2
TURKANA CENTRAL,"19,585",11.8,"11,961",14.4,"7,624",9.2
TURKANA EAST,"7,414",5.7,"4,754",6.5,"2,660",4.6
TURKANA NORTH,"2,038",3.4,"1,339",4.5,699,2.4
TURKANA SOUTH,"9,280",6.5,"5,851",8.0,"3,429",4.9
TURKANA WEST,"16,425",7.4,"10,603",9.3,"5,822",5.5
WEST POKOT,"44,864",8.1,"28,103",10.3,"16,761",6.0
KIPKOMO,"7,394",8.1,"4,709",10.4,"2,685",5.8
POKOT CENTRAL,"4,848",4.6,"3,260",6.1,"1,588",3.0
POKOT NORTH,"5,448",4.6,"3,570",6.3,"1,878",3.0
POKOT SOUTH,"6,461",8.9,"4,310",12.1,"2,151",5.8
WEST POKOT,"20,713",12.6,"12,254",15.0,"8,459",10.2
SAMBURU,"27,282",9.7,"16,768",11.9,"10,514",7.6
SAMBURU CENTRAL,"17,539",11.7,"10,635",14.0,"6,904",9.4
SAMBURU EAST,"6,268",9.0,"3,870",11.4,"2,398",6.7
SAMBURU NORTH,"3,475",5.7,"2,263",7.2,"1,212",4.1
TRANS NZOIA,"154,412",16.9,"88,098",19.6,"66,311",14.3
TRANS NZOIA WEST,"34,776",18.9,"20,148",22.1,"14,627",15.7
TRANS NZOIA EAST,"33,388",15.7,"19,164",18.3,"14,224",13.2
KWANZA,"29,556",15.7,"16,790",18.1,"12,765",13.3
ENDEBESS,"9,816",9.6,"6,474",12.6,"3,342",6.6
KIMININI,"46,876",21.0,"25,522",23.5,"21,353",18.5
UASIN GISHU,"299,885",28.0,"163,826",30.8,"136,049",25.3
AINABKOI,"38,066",29.8,"20,320",32.3,"17,746",27.4
KAPSERET,"67,976",37.2,"36,693",40.1,"31,281",34.2
KESSES,"30,972",22.5,"17,493",25.4,"13,477",19.5
MOIBEN,"48,743",29.5,"26,212",32.1,"22,531",26.9
SOY,"43,783",20.7,"24,937",23.7,"18,843",17.7
TURBO,"70,345",28.7,"38,171",31.3,"32,171",26.1
ELGEYO/MARAKWET,"59,627",14.2,"35,299",16.9,"24,326",11.6
KEIYO NORTH,"17,270",18.9,"9,822",21.6,"7,448",16.2
KEIYO SOUTH,"17,441",15.5,"10,315",18.2,"7,124",12.8
MARAKWET EAST,"7,943",8.9,"4,915",11.2,"3,028",6.7
MARAKWET WEST,"16,973",13.5,"10,247",16.2,"6,726",10.7
NANDI,"140,534",17.1,"81,657",20.0,"58,872",14.2
CHESUMEI,"33,312",21.9,"18,383",24.5,"14,928",19.3
NANDI CENTRAL,"25,736",18.8,"14,722",21.8,"11,011",16.0
NANDI EAST,"21,288",19.2,"12,891",23.2,"8,397",15.2
NANDI NORTH,"23,780",15.4,"13,794",18.0,"9,986",12.8
NANDI SOUTH,"22,869",14.2,"13,140",16.5,"9,728",12.0
TINDERET,"13,549",12.6,"8,727",16.0,"4,822",9.1
BARINGO,"93,138",15.3,"54,448",17.8,"38,687",12.8
BARINGO CENTRAL,"20,343",22.8,"11,373",25.8,"8,970",19.9
BARINGO NORTH,"13,187",13.6,"7,960",16.5,"5,226",10.8
EAST POKOT,"3,020",4.1,"1,861",5.0,"1,159",3.2
KOIBATEK,"25,544",21.4,"14,761",24.6,"10,783",18.1
MARIGAT,"11,772",14.5,"7,183",17.8,"4,588",11.3
MOGOTIO,"15,244",18.2,"8,804",20.9,"6,439",15.5
TIATY EAST,"4,028",6.1,"2,506",7.2,"1,522",4.8
LAIKIPIA,"107,448",22.6,"59,898",25.3,"47,547",19.9
LAIKIPIA CENTRAL,"24,716",27.7,"13,391",30.0,"11,325",25.4
LAIKIPIA EAST,"30,485",32.5,"16,946",36.1,"13,537",29.0
LAIKIPIA NORTH,"2,507",7.8,"1,671",10.4,836,5.2
LAIKIPIA WEST,"15,147",12.9,"9,199",15.6,"5,948",10.1
NYAHURURU,"34,593",24.2,"18,691",26.7,"15,901",21.8
NAKURU,"531,767",26.8,"293,579",29.9,"238,166",23.8
GILGIL,"47,755",28.2,"26,922",31.7,"20,831",24.6
KURESOI NORTH,"19,962",12.4,"12,833",15.9,"7,129",8.8
KURESOI SOUTH,"20,442",14.3,"12,997",18.1,"7,445",10.5
MOLO,"28,049",19.4,"16,264",22.5,"11,785",16.2
NAIVASHA,"102,716",31.8,"57,251",35.5,"45,456",28.1
NAKURU EAST,"85,041",48.3,"41,796",50.1,"43,242",46.7
NAKURU NORTH,"61,609",30.6,"31,974",32.8,"29,631",28.6
NAKURU WEST,"65,871",36.7,"36,670",40.2,"29,198",33.1
NJORO,"38,685",17.6,"22,505",20.6,"16,180",14.6
RONGAI,"48,767",26.4,"26,991",29.3,"21,775",23.6
SUBUKIA,"12,870",16.3,"7,376",18.9,"5,494",13.7
NAROK,"125,491",12.0,"78,467",15.1,"47,018",9.0
NAROK EAST,"11,601",11.1,"7,438",13.9,"4,163",8.1
NAROK NORTH,"44,706",19.6,"26,104",22.6,"18,598",16.6
NAROK SOUTH,"19,111",8.9,"12,482",11.7,"6,628",6.1
NAROK WEST,"16,281",9.5,"10,563",12.5,"5,717",6.5
TRANS MARA EAST,"8,237",8.0,"5,363",10.7,"2,874",5.5
TRANS MARA WEST,"25,525",11.5,"16,491",14.9,"9,034",8.1
MAU FOREST,30,93.8,26,92.9,4,100.0
KAJIADO,"336,468",33.1,"179,615",35.6,"156,840",30.6
ISINYA,"89,948",47.0,"46,985",49.3,"42,958",44.8
KAJIADO CENTRAL,"27,228",18.8,"15,778",21.7,"11,450",15.8
KAJIADO NORTH,"148,583",52.6,"75,963",55.0,"72,613",50.3
KAJIADO WEST,"34,050",20.6,"19,137",23.2,"14,912",18.0
LOITOKITOK,"24,417",14.1,"14,489",17.0,"9,928",11.3
MASHUURU,"12,242",20.8,"7,263",24.0,"4,979",17.4
KERICHO,"158,104",19.0,"95,506",23.0,"62,594",15.0
BELGUT,"28,758",21.2,"17,196",25.3,"11,562",17.0
BURETI,"34,550",18.7,"20,757",22.7,"13,792",14.7
KERICHO EAST,"42,000",26.8,"24,553",31.1,"17,446",22.4
